repet,Num,Fitness,tmp
1,2061,17,106.10656605
2,799,17,41.13495695
3,255,18,13.12817775
4,48,19,2.4711864
5,1913,17,98.48707465
6,331,19,17.04088955
7,96,19,4.9423728
8,331,19,17.04088955
9,2000,17,102.9661
10,2628,17,135.2974554
11,1952,17,100.4949136
12,3891,17,200.32054755
13,598,17,30.7868639
14,351,17,18.07055055
15,3961,17,203.92436105
16,2143,18,110.32817615
17,879,18,45.25360095
